,x,lx,qx,dx,Lx,Tx,ex
1,0,100000,"0,00446",446,99611,7396267,"73,96"
1,1,99554,"0,00028",28,99540,7296656,"73,29"
1,2,99526,"0,00019",19,99516,7197117,"72,31"
1,3,99506,"0,00013",13,99500,7097601,"71,33"
1,4,99493,"0,0001",10,99488,6998101,"70,34"
1,5,99482,9E-05,9,99478,6898614,"69,35"
1,6,99473,9E-05,9,99469,6799136,"68,35"
1,7,99464,9E-05,9,99460,6699667,"67,36"
1,8,99455,9E-05,9,99450,6600207,"66,36"
1,9,99446,9E-05,9,99441,6500757,"65,37"
1,10,99436,"0,0001",10,99432,6401316,"64,38"
1,11,99427,"0,0001",10,99422,6301884,"63,38"
1,12,99417,"0,00011",11,99411,6202462,"62,39"
1,13,99405,"0,00013",13,99399,6103051,"61,4"
1,14,99392,"0,00017",16,99384,6003653,"60,4"
1,15,99376,"0,00022",22,99365,5904268,"59,41"
1,16,99354,"0,00032",32,99338,5804904,"58,43"
1,17,99322,"0,00045",45,99299,5705566,"57,45"
1,18,99277,"0,00059",58,99248,5606267,"56,47"
1,19,99219,"0,00071",71,99183,5507019,"55,5"
1,20,99148,"0,0008",79,99108,5407835,"54,54"
1,21,99069,"0,00085",84,99027,5308727,"53,59"
1,22,98985,"0,00088",87,98941,5209700,"52,63"
1,23,98898,"0,0009",89,98853,5110759,"51,68"
1,24,98809,"0,00093",92,98763,5011906,"50,72"
1,25,98716,"0,00097",96,98668,4913143,"49,77"
1,26,98621,"0,00101",100,98571,4814475,"48,82"
1,27,98521,"0,00105",103,98469,4715904,"47,87"
1,28,98417,"0,00109",107,98364,4617435,"46,92"
1,29,98310,"0,00114",113,98254,4519071,"45,97"
1,30,98197,"0,00121",119,98138,4420817,"45,02"
1,31,98079,"0,00128",126,98016,4322679,"44,07"
1,32,97953,"0,00136",133,97887,4224663,"43,13"
1,33,97820,"0,00145",142,97749,4126777,"42,19"
1,34,97679,"0,00154",151,97603,4029027,"41,25"
1,35,97528,"0,00165",161,97447,3931424,"40,31"
1,36,97367,"0,00177",172,97281,3833977,"39,38"
1,37,97195,"0,00191",185,97102,3736696,"38,45"
1,38,97009,"0,00207",200,96909,3639594,"37,52"
1,39,96809,"0,00225",218,96700,3542684,"36,59"
1,40,96591,"0,00246",238,96473,3445984,"35,68"
1,41,96354,"0,0027",261,96223,3349512,"34,76"
1,42,96093,"0,00298",286,95950,3253288,"33,86"
1,43,95807,"0,00329",315,95649,3157338,"32,96"
1,44,95491,"0,00364",347,95318,3061689,"32,06"
1,45,95144,"0,00402",382,94953,2966372,"31,18"
1,46,94761,"0,00444",421,94551,2871419,"30,3"
1,47,94341,"0,0049",462,94109,2776868,"29,43"
1,48,93878,"0,00541",508,93624,2682758,"28,58"
1,49,93371,"0,00596",557,93092,2589134,"27,73"
